Folder,Subfolder,Filename,EntryIndex,Raw Transcription
2025 Field Notes Images,B2 - Survival,IMG_4014.HEIC,1,No entries found
2025 Field Notes Images,A2 - Transformation ,IMG_4002.HEIC,1,No entries found
2025 Field Notes Images,D2 - Boundaries of Humanity,IMG_4033.HEIC,1,"Q1: 45 | Q2: F | Q3: Louisville, ky | Q4: 3 | Q5: [Blank] | Q6: Literally everything | Q7: Nope | Q8: I am a vessel of love | Q9: We are ONE"
2025 Field Notes Images,B1 - Survival,IMG_4070.HEIC,1,"Q1: 32 | Q2: Male | Q3: Baker Beach, San Francisco | Q4: 1st time | Q5: Water | Q6: Rebar stakes for grill | Q7: 10 more days | Q8: Commonal meals & Checkins"
2025 Field Notes Images,C2 - Emotions & Experiences,IMG_4026.HEIC,1,"Q1: 62 | Q2: Male? | Q3: Kentucky, USA | Q4: 11 | Q5: 13 hour exodus, alcohol | Q6: The general Amosphere of choperation and eviles of bierner community."
2025 Field Notes Images,C2 - Emotions & Experiences,IMG_4026.HEIC,2,Q1: 38 | Q2: Fe | Q3: S | Q4: 6 | Q5: 0 | Q6: [Blank]
2025 Field Notes Images,E1 - Relationships,IMG_4143.HEIC,1,Q1: 26 | Q2: MALE | Q3: SF | Q4: 3 | Q5: Yes. Costco connected us. Didn't last. | Q6: No. | Q7: There's a clock on it. Things move fast and distractions are everywhere.
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4124.HEIC,1,"Q1: 34 | Q2: Male | Q3: Nomad | Q4: 4 | Q5: Not sure, except our collective ID as humans | Q6: We think, Al doesn't (and Ive worked in Al). | Q7: Its possible. If a machine is Sentient, It should be treated with personhood. | Q8: Unsure | Q9: Im an animist, So I think all things have personhood. Thus the lines of human & the more than human world get blurry."
2025 Field Notes Images,A1 - Transformation,IMG_4061.HEIC,1,"Q1: 39 | Q2: Male | Q3: Calgary/Cal | Q4: 1 | Q5: Yes, brought me bick | Q6: [Illegible] to roots | Q7: - Sudden Change | Q8: My women and friends"
2025 Field Notes Images,A1 - Transformation,IMG_4061.HEIC,2,Q1: 33 | Q2: Femcle | Q3: my house (watt to) | Q4: 0 | Q5: Ves | Q6: yes-hila lever | Q7: yes-comus | Q8: freedom
2025 Field Notes Images,F1 - Diversity & Inclusion,IMG_4151.HEIC,1,"Q1: 35 | Q2: Male | Q3: Dallas, PA (Home down) | Q4: First Timer | Q5: I'm 6'8"" and I've been told I'm very Intimadating, but I'm a very sarsitive, gentle, mindful Person. | Q6: I han matige &xtoxic ampuls tattoos on my Les, and a 2 tattoos that I gaut on 22 02/22/2022 | Q7: I Feel like people are abrand to delle to me, I make sun bo Smile and introduce myself. | Q8: No, I am who I am, anthite."
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4110.HEIC,1,"Q1: 54 | Q2: Gender-Fluid | Q3: Campbell, CA | Q4: 3 | Q5: Consent Violations, MUDDY (2023) | Q6: Body Positivity, Space to spontaneously create art, Deep yet ephemeral conversations/ interactions | Q7: Joy, Freedom of expression, Loneliness (esp. if feeling ""othered"" or excluded). | Q8: Someone's Reaction to taking a shot of ""Reaper"" infused Absinthe. | Q9: My nephew's obituary in the Temple. Other people feeling deeply in multiple situations. | Q10: SO MANY ART PIECES ! also, the sacred Fire on 6:00 37"
2025 Field Notes Images,A1 - Transformation,IMG_4058.HEIC,1,Q1: [Blank] | Q2: [Blank] | Q3: [Blank] | Q4: [Blank] | Q5: [Blank] | Q6: [Blank] | Q7: [Blank] | Q8: yes Iam even more Inclusive. and I always pack it in and pack it out! | Q9: I think I changed my way of thinking about others and how Creative you can be Whether it's small or large scale
2025 Field Notes Images,A1 - Transformation,IMG_4059.HEIC,1,Q1: 86 | Q2: F | Q3: Curiosity | San Fran. | Q4: 8 | Q5: Yes. | Q6: Yes | Q7: No | Q8: No.
2025 Field Notes Images,A1 - Transformation,IMG_4053.HEIC,1,"Q1: 52 | Q2: M | Q3: Hawthorn Woods IL | Q4: 3 | Q5: Yes, Too much to say | Q6: Yes, "" | Q7: Det gradual | Q8: Absolutely up around gender issues | Q9: Just to be as accepting as I can in all sort of ways. :)"
2025 Field Notes Images,A1 - Transformation,IMG_4062.HEIC,1,Q1: Pony | Q2: 90 | Q3: male | Q4: kfow | Q5: 3 | Q6: 2010 | Q7: [Illegible] | Q8: werver | Q9: jodawetel
2025 Field Notes Images,A1 - Transformation,IMG_4064.HEIC,1,"Q1: 44 | Q2: M | Q3: CA (San Diego) | Q4: 7x | Q5: y; it's made space to look, see $be | Q6: N, been here, dove that | Q7: N/A | Q8: 1sh, somewhat i making space opens doors | Q9: patience, planning, adaptability, regard for others"
2025 Field Notes Images,A1 - Transformation,IMG_4054.HEIC,1,"Q1: 41 years old | Q2: female | Q3: Bend Oregon | Q4: 3 | Q5: 2015 opened my world met my peoples, grew as a person. More open to new experiances | Q6: yes. I had heard of BM for 10 years + before I came. Became my bucket list for life | Q7: both. On the playa and when I got hame I also hanged to come to burning man - left a CTR | Q8: yes. This year especially. I am far more open | Q9: Welcoming comunnity. Giet 5"
2025 Field Notes Images,A1 - Transformation,IMG_4057.HEIC,1,"Q1: 56 | Q2: M | Q3: Cambridge Massachusetts. | Q4: ONE | Q5: YES, TUESDAY MORNING I RAN my FIRST ULTRA MARATHON | Q6: SURE - ANY MASSIVE NEW EXPERIENCE WILL change you! | Q7: STILL EVOLVING, slow | Q8: shows you down and allows real conversations | Q9: LACK OR TRANSACTIONS $, ARTISTIC EXPRESSION"
2025 Field Notes Images,A1 - Transformation,IMG_4052.HEIC,1,"Q1: 42 | Q2: F | Q3: Longmont, co | Q4: 6 | Q5: no but the communitydid. I met burner's way before I could afford burming man & they taught me acceptance of so many things | Q6: no, in developmental psychology we talk about dandelions + orchids. (differential susceptibility to environmental Influences). Orchids need specialized care & will wilt without it but bloom in the right environment. Dandelions are ok everywhere. I'm a dandelion. | Q7: There is a storm coming So I have togo! "
2025 Field Notes Images,A1 - Transformation,IMG_4063.HEIC,1,"Q1: Virgin! | Q2: Yes. Opennesse+experienery others. Also a reminder | Q3: The reliance on self expression, The 10 principles should be carefully lived, not just this week. | Q4: Yes. Evepre tells of ""you don't get it unti"" you experience it.""I also come searching for change/answers, learned me it | Q5: Greedel | Q6: It is just to be open and welcome to all without wait/hes.itation | Q7: Exparentred w/ others, watching Pleje TV"
2025 Field Notes Images,A1 - Transformation,IMG_4055.HEIC,1,"Q1: 34 | Q2: Female | Q3: Oakland, CA | Q4: 2 | Q5: Yes, it gave me more hope that meny, if not most people, want to build a rodienlly different world based on valves it orbr Feels like the default world lacks | Q6: No, in fact I thought it was a bit trite that people had to go to a party in the desert to learn te 10 vale os"
2025 Field Notes Images,A1 - Transformation,IMG_4055.HEIC,2,"Q7: Gradual | Q8: It is charging it | Q9: I dont think there is a single factor as there is so much diversity & creativity that makes up the city, and all of trose things combined create the beauty"
2025 Field Notes Images,A1 - Transformation,IMG_4060.HEIC,1,"Q1: Big White | Q2: LED | Q3: Toilet signs, + more hot girls will come to the born | Q4: everyone wins"
2025 Field Notes Images,A1 - Transformation,IMG_4051.HEIC,1,No entries found
2025 Field Notes Images,A1 - Transformation,IMG_4050.HEIC,1,No entries found
2025 Field Notes Images,A1 - Transformation,IMG_4056.HEIC,1,"Q1: 32 | Q2: Female | Q3: San Francisco, CA | Q4: 6 times! | Q5: probably the first time. Experiencing a city made from us is absolutely life Changing Watching ewire from nothing into something definitely changes you Riding through Wadsnorth and Empire and Gerlach is life charging! Why? The atmosphere, the landscape, the entire farney is a one-of-a-kind experience | Q6: yes I expected myself to change or really discover a part of me that has always mthin | Q7: It's gradual and each year you attend and participate the ""life chage"" Is evolving slowly."
2025 Field Notes Images,B2 - Survival,IMG_4015.HEIC,1,No entries found
2025 Field Notes Images,A2 - Transformation ,IMG_4003.HEIC,1,Q1: [Blank] | Q2: [Blank] | Q3: [Blank] | Q4: [Blank] | Q5: [Blank] | Q6: [Blank] | Q7: [Blank] | Q8: [Blank] | Q9: [Blank]
2025 Field Notes Images,A2 - Transformation ,IMG_4007.HEIC,1,Q1: 52 | Q2: M | Q3: UAE | Q4: 1ST | Q5: Enjoy the freedom to be on your own Journey | Q6: Wasn't Looking to be Changed are pretty Liberal and open however enjoy Seeing other peoples Journey. | Q7: haven't felt a Change | Q8: No People are people and I Accept everyone | Q9: NA
2025 Field Notes Images,A2 - Transformation ,IMG_4005.HEIC,1,"Q1: 35 | Q2: Female | Q3: ABQ, New Mexico | Q4: 2 | Q5: Yes, it helped me with my social anxiety and also finding strength in myself. | Q6: No I did not. | Q7: very gradual | Q8: Yes, radical inclusivity has changed how I appreciate and understand everyone, & everyone's individual gifts, | Q9: Just how hard it is, finding resilience and feeling free of judgement for the first time, probably ever..."
2025 Field Notes Images,B2 - Survival,IMG_4018.HEIC,1,Q1: 36 | Q2: F | Q3: Czechia | Q4: 5x | Q5: eye mask | Q6: solar cooker | Q7: 14 | Q8: shade structure by campmates
2025 Field Notes Images,B2 - Survival,IMG_4018.HEIC,2,"Q1: 43 | Q2: M | Q3: Czechia | Q4: 6x | Q5: dust protection | Q6: solar cookeh | Q7: 14 | Q8: as pant at camp, shade & frod"
2025 Field Notes Images,A2 - Transformation ,IMG_4004.HEIC,1,"Q1: 41 | Q2: Non-Binary | Q3: Phoenix, AZ | Q4: [Blank] | Q5: Burning Man freed me from a prison of myown MAKING | Q6: Yes. | Q7: Both | Q8: Yes, I began to recognize that people desire my authenticity! | Q9: It gave me a desire to live. And love again."
2025 Field Notes Images,A2 - Transformation ,IMG_4004.HEIC,2,"Q1: 40 | Q2: Female | Q3: Utah, SLC | Q4: 5 year | Q5: yes. community, play, creativity | Q6: yes - hearing all the stories | Q7: Gradual! | Q8: yes, Compassion + increased open mindedness | Q9: Art, building (creating together in community, suming adv"
2025 Field Notes Images,B2 - Survival,IMG_4020.HEIC,1,No entries found
2025 Field Notes Images,B2 - Survival,IMG_4019.HEIC,1,Q1: S | Q2: F | Q3: Minder NU | Q4: 5 | Q5: water up | Q6: ID | Q7: years | Q8: community companion ship
2025 Field Notes Images,B2 - Survival,IMG_4016.HEIC,1,"Q1: [Blank] | Q2: male | Q3: SF Bay Area | Q4: 5 times | Q5: headlamp | Q6: pool [Illegible] | Q7: 10 days | Q8: my community helps me feel grouded, inspired, and open minded."
2025 Field Notes Images,B2 - Survival,IMG_4016.HEIC,2,Q1: D35 yo | Q2: male | Q3: Reno | Q4: 3 | Q5: Camo) Pack bag | Q6: ice melt fitter/reclamation | Q7: 21 | Q8: many hands make light work
2025 Field Notes Images,E1 - Relationships,IMG_4137.HEIC,1,Q1: 43 | Q2: M | Q3: Reno | Q4: 1 | Q5: N | Q6: N | Q7: Some so far
2025 Field Notes Images,E1 - Relationships,IMG_4130.HEIC,1,No entries found
2025 Field Notes Images,B2 - Survival,IMG_4017.HEIC,1,"Q1: [Blank] | Q2: [Blank] | Q3: Sacramento | Q4: 3 Official, I renegade | Q5: Extra batteries, | Q6: Lizard onesie for cold nights. | Q7: 2 weeks | Q8: Kindness in the ranton encounters of each and every person you meet"
2025 Field Notes Images,B2 - Survival,IMG_4017.HEIC,2,Q1: 75 | Q2: M | Q3: NY | Q4: 14 | Q5: ACCORDION | Q6: MUSHROOMS | Q7: 10 DAYS | Q8: MY FAMILY
2025 Field Notes Images,E1 - Relationships,IMG_4136.HEIC,1,Q1: 39 | Q2: Female | Q3: Reno | Q4: 1 | Q5: no | Q6: yes - amazing! So much fun exploring together but also apart | Q7: Some :)
2025 Field Notes Images,E1 - Relationships,IMG_4140.HEIC,1,Q1: 58 | Q2: M | Q3: CARSON CITY NV | Q4: 7TH BURN! | Q5: NO NEW LOVE | Q6: NO PERMANENT LOU + | Q7: DEFINITES RECOMENA BRINGING YOUR PARTNER(S) | Q8: NO DIFFERECE WITH ROMANTIC ENTANGEMENTS IHRE OR. | Q9: DEFALT
2025 Field Notes Images,B2 - Survival,IMG_4021.HEIC,1,Q1: 37 | Q2: [Blank] | Q3: NY | Q4: 1 | Q5: Pandaid | Q6: [Blank] | Q7: [Blank] | Q8: rely on the emotional/joyous vibes of my community (4) helping provide shade
2025 Field Notes Images,B2 - Survival,IMG_4021.HEIC,2,Q1: 34 | Q2: m | Q3: Eiko NU | Q4: 7 | Q5: myself | Q6: nail clippers (you'd be surprised at how versatile of a tool those are) | Q7: 14 | Q8: I look out for others & in turn the playa has always found a way to provide in return
2025 Field Notes Images,B2 - Survival,IMG_4021.HEIC,3,"Q1: 39 | Q2: M | Q3: GRADADA, SPAIN | Q4: 9 | Q5: Camelbak | Q6: Pepto bismod & Tequila | Q7: 15 | Q8: Accept offerings in given and help in return."
2025 Field Notes Images,E1 - Relationships,IMG_4141.HEIC,1,Q1: 39 | Q2: Male | Q3: Canada | Q4: 1 | Q5: No | Q6: Yes | Q7: orgy | Q8: dome
2025 Field Notes Images,E1 - Relationships,IMG_4141.HEIC,2,Q1: 33 | Q2: Female | Q3: Canada | Q4: 1 | Q5: No | Q6: Yes | Q7: orgy | Q8: dome
2025 Field Notes Images,E1 - Relationships,IMG_4141.HEIC,3,Q1: 40 | Q2: Female | Q3: Canada | Q4: 3 | Q5: No | Q6: Yes | Q7: agr | Q8: Dome
2025 Field Notes Images,E1 - Relationships,IMG_4141.HEIC,4,Q1: 40 | Q2: Male | Q3: Canada | Q4: 3 | Q5: No | Q6: No | Q7: Done | Q8: Done
2025 Field Notes Images,E1 - Relationships,IMG_4131.HEIC,1,"Q1: 38 | Q2: F | Q3: Nashville, In | Q4: 1 | Q5: no | Q6: yes. my partner has jained I love being I here here with me. my pastier. We are a great team and make life mare fun together we are so used to. burning together things rin smoothly. If you bring your romantic partner with you comnunicate everything before coming Jalk about lagistics, planning, food... evenjting Have patience for each ather. | Q7: On playa me tap into the fun side of life way mare."
2025 Field Notes Images,E1 - Relationships,IMG_4129.HEIC,1,No entries found
2025 Field Notes Images,E1 - Relationships,IMG_4132.HEIC,1,Q1: 63 | Q2: Female | Q3: Australia | Q4: [Illegible] | Q5: No | Q6: [Blank] | Q7: [Blank]
2025 Field Notes Images,E1 - Relationships,IMG_4132.HEIC,2,Q1: [Illegible] | Q2: [Illegible] | Q3: Perfect until dust man | Q4: This year (Exploding yurt man!) | Q5: [Blank] | Q6: [Blank] | Q7: [Blank]
2025 Field Notes Images,E1 - Relationships,IMG_4135.HEIC,1,"Q1: 25 | Q2: M | Q3: Nomadic/Seattle | Q4: 2 | Q5: No | Q6: Yes, sucked. So Jealors & She was too experinced | Q7: 20 | Q8: Camp Contact, Fando encounters hope within this container of curiaus futurism"
2025 Field Notes Images,E1 - Relationships,IMG_4138.HEIC,1,Q1: 64 | Q2: F | Q3: Canada | Q4: 11 | Q5: no | Q6: no | Q7: they are not
2025 Field Notes Images,E1 - Relationships,IMG_4134.HEIC,1,Q1: 30 | Q2: W | Q3: In my Lan | Q4: 1 | Q5: not yet | Q6: nope | Q7: not sure
2025 Field Notes Images,E1 - Relationships,IMG_4133.HEIC,1,"Q1: 38 | Q2: Male | Q3: Hawaii | Q4: 6 | Q5: Yes. I fell in love w/a campmate 2yours ago and we've been together smce. | Q6: Yes. My first year I was here w/ a different partner and I would have taken move opportunities to do things on my own. I would recommend this to any couple on playa. | Q7: theque move compatible on Playa. We already have so much m common,"
2025 Field Notes Images,E1 - Relationships,IMG_4142.HEIC,1,"Q1: 33 | Q2: F | Q3: Nomad | OC CA | Q4: 4 | Q5: No | Q6: Married 6 yrs, together 15. Only ever been together to BM. Love it! Bring patience & compromise | Q7: NA"
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4116.HEIC,1,Q1: 33 | Q2: WORAN | Q3: ITALY | Q4: FIRST TIME | Q5: HEMPATY ? | Q6: CONNECTING EMOTION | Q7: Never | Q8: PAll in love | Q9: OPEN FIEANT
2025 Field Notes Images,E1 - Relationships,IMG_4139.HEIC,1,"Q1: 33 | Q2: F | Q3: 124c4 | Q4: 1° st line | Q5: yes I Foll in love how with | Q6: [Blank] | Q7: 50 intense relationscup, o real"
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4121.HEIC,1,"Q1: 38 | Q2: Male | Q3: East Los Angeles | Q4: First | Q5: Self-Aware | Q6: Nuances | Q7: We did, why not them? | Q8: The limits of time. | Q9: I love this Place."
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4120.HEIC,1,Q1: 9/5 | Q2: 6 | Q3: 6 | Q4: [Blank] | Q5: Build | Q6: Mexico | Q7: [Blank]
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4117.HEIC,1,"Q1: 38 | Q2: F | Q3: Seattle, WA | Q4: Since 2015 (8 yrs) | Q5: The ability to change our own enviroment, behaviours, and other organisms | Q6: A heart, compassion | Q7: Close to but not 100%. | Q8: Different types of love; agape, romantic, etc. | Q9: I'm a mother, and fulltime worker w/ progressive views. I embrace change and artificial intelligence."
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4128.HEIC,1,"Q1: 49 | Q2: Male | Q3: Reno, NJ | Q4: 15 | Q5: Creativity, Agency, LOVE | Q6: AI is still dependent on computers to ran on | Q7: Maybe one day. Has to evolve Death is what forces introspection | Q8: Introspection, Reflection, Mortality | a) I believe we will see AGI in 10 years."
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4112.HEIC,1,No entries found
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4126.HEIC,1,"Q1: 1.35 | Q2: mahe | Q3: Rao, Nonde | Q4: first time | Q5: Consciousness | Q6: chemical driven us. dato drives | Q7: possibly | Q8: enoyers | Q9: No"
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4127.HEIC,1,Q1: 40 | Q2: F | Q3: 48K | Q4: 3 | Q5: honesty | Q6: physical touch
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4127.HEIC,2,"Q1: 43 | Q2: M | Q3: 48K | Q4: 1 | Q5: No, Not yet | Q6: human Connection, family | Q7: Loss"
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4113.HEIC,1,Q1: 29 | Q2: F | Q3: Re | Q4: 2 | Q5: 10 | Q6: G | Q7: no | Q8: se | Q9: J
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4125.HEIC,1,Q1: 44 | Q2: Male | Q3: Nevada | Q4: 1x | Q5: [Blank] | Q6: Flesh | Q7: No | Q8: No
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4118.HEIC,1,"Q1: 1.34 | Q2: F | Q3: Oakland, CA | Q4: 4 | Q5: Clothing | Q6: Consciousness | Q7: Define 'moras with: possibly, depending. | Q8: Crying for so many reasons; genuine tenderness | Q9: I am actively practicing attending; attuning b, better (more skillfully) manager internal, emotional, psychological, intrapsychic boundaries. so difficult for me."
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4114.HEIC,1,"Q1: 39 | Q2: How dare you ask | Q3: I live wherever the wind takes me | Q4: One | Q5: Intelligence, | Q6: Ability to absorb substances leading to terrible decisions | Q7: Ya, human bar of morality is low | Q8: Watching Mahomes become the greatest athlete of all time | Q9: Way too much of a capitalist to fit in here. I think I did my best."
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4119.HEIC,1,"Q1: 33 | Q2: 7 | Q3: Honolulu | Q4: 6 | Q5: communication, sicial banding | Q6: [Blank] | Q7: [Blank]"
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4122.HEIC,1,"Q1: 25 | Q2: M | Q3: Roaming around Scattle | Q4: 2 | Q5: Imaginative compassion Managerial follanthrough creativity | Q6: Relateability to other humans, derived of the samp code as other lifelorusion earth | Q7: If designed specifically as such especially with specialized memer Contett | Q8: This kind of global & etishuntin responsibility yet also on mystery of ove anes/heliacanthitom | Q9: I mark interseil w/ AT& Living Energy Farm ~"
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4123.HEIC,1,"Q1: 41 | Q2: MALE | Q3: HALIFAX, NOVA SCOTIA, | Q4: VIRGIN. | Q5: WE ARE ALL ANIMALS | Q6: HUMAN EMOTION. | Q7: No | Q8: HUMAN EXPERIENCES, LOVE MAKING ADRELIN SEEKING PURSUITS | Q9: No"
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4115.HEIC,1,"Q1: 42 | Q2: F | Q3: Longmont, co | Q4: 6 | Q5: none really, just diff ways of communicating | Q6: emotion | Q7: yes? maybe? can you teach a machine to love? | Q8: Spontaneous creativity perhaps but I also don't understand emmel perspectives | Q9: I'm a developmental psychologist so believe in the power of unique experiences to shape lives"
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4090.HEIC,1,Q1: 30 | Q2: M | Q3: California | Q4: 2 | Q5: People not looking to connect | Q6: People correcting & helping out | Q7: overwhelmingly positive | Q8: My Corp mote Per | Q9: Nothing | Q10: Burnig Man
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4091.HEIC,1,"Q1: 37 | Q2: Female | Q3: Denver, Co | Q4: 3 | Q5: Not listening to what you want to do sleep. go to deep playa solo, see a DJ-not hononny you own wants makes you sad | Q6: Giving - creating an unexpected experience for others | Q7: Love | Q8: Chicken Ranch art piece | Q9: Eating my first hotdog they alluded me until WED! | Q10: Standing at the Trash Fence in the middle of the night looking at the stars (& licking her of course)"
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4086.HEIC,1,"Q1: 44 | Q2: F | Q3: Santa Cruz, CA | Q4: one time :) | Q5: ? | Q6: Planning and letting go of expectations | Q7: Excitement, curiosity, confidence | Q8: Seeing some of the creative mutant vehicles. Meeting new friends on Thursdays"
