cohort_year,segment,campPlaced,weighted_count,weighted_return_rate,unweighted_n
1986,age30plus,all,2.003603151061819,0.16341884981887242,4
1986,age30plus,no,1.676176628621828,0.0,2
1986,age30plus,yes,0.208835873146977,1.0,1
1986,overall,all,2.003603151061819,0.16341884981887242,4
1986,overall,no,1.676176628621828,0.0,2
1986,overall,yes,0.208835873146977,1.0,1
1987,age30plus,all,0.197415371962664,0.0,1
1987,age30plus,yes,0.197415371962664,0.0,1
1987,overall,all,0.197415371962664,0.0,1
1987,overall,yes,0.197415371962664,0.0,1
1988,age30plus,all,1.184803176893635,0.0,2
1988,age30plus,no,1.184803176893635,0.0,2
1988,overall,all,1.184803176893635,0.0,2
1988,overall,no,1.184803176893635,0.0,2
1990,age30plus,all,0.115056846885864,1.0,1
1990,age30plus,yes,0.115056846885864,1.0,1
1990,overall,all,0.115056846885864,1.0,1
1990,overall,yes,0.115056846885864,1.0,1
1991,age30plus,all,0.907191620062443,0.18918936268907824,2
1991,age30plus,yes,0.907191620062443,0.18918936268907824,2
1991,overall,all,1.0128540256305691,0.1694528531193172,3
1991,overall,yes,0.907191620062443,0.18918936268907824,2
1991,under30,all,0.105662405568126,0.0,1
1993,age30plus,all,0.387660717334339,0.0,2
1993,age30plus,yes,0.387660717334339,0.0,2
1993,overall,all,0.387660717334339,0.0,2
1993,overall,yes,0.387660717334339,0.0,2
1994,age30plus,all,3.935489335737002,0.6501146489237123,9
1994,age30plus,no,0.360460415328988,1.0,1
1994,age30plus,yes,2.845981915690587,0.516170478702005,7
1994,overall,all,3.935489335737002,0.6501146489237123,9
1994,overall,no,0.360460415328988,1.0,1
1994,overall,yes,2.845981915690587,0.516170478702005,7
1995,age30plus,all,5.226787651565683,0.5093325098480246,11
1995,age30plus,no,1.902948460484929,0.23214003929258736,4
1995,age30plus,yes,3.3238391910807543,0.6680294126695989,7
1995,overall,all,5.226787651565683,0.5093325098480246,11
1995,overall,no,1.902948460484929,0.23214003929258736,4
1995,overall,yes,3.3238391910807543,0.6680294126695989,7
