cohort_year,age_band,no_rate,yes_rate,no_unweighted_n,yes_unweighted_n,gap_yes_minus_no,min_unweighted_n
2015,23-28,,0.1467502786344207,,3.0,,3.0
2015,29-34,0.2372101605143903,0.5114768319758088,3.0,20.0,0.27426667146141853,3.0
2015,35-39,0.5464954637972805,0.5700702418896496,12.0,33.0,0.023574778092369075,12.0
2015,40-49,0.2906175807038223,0.5619608592810036,12.0,54.0,0.27134327857718127,12.0
2015,50-59,0.5139837280861551,0.346674591498442,6.0,26.0,-0.16730913658771313,6.0
2015,60+,0.2736039264336889,0.835344982524809,5.0,22.0,0.5617410560911201,5.0
2016,29-34,0.3352015533149892,0.6254281864862887,8.0,20.0,0.29022663317129954,8.0
2016,35-39,0.7548492502756545,0.538639520498239,10.0,44.0,-0.21620972977741548,10.0
2016,40-49,0.7412904808070777,0.5743793899931183,21.0,51.0,-0.16691109081395938,21.0
2016,50-59,0.4606098082009858,0.6004977311891339,5.0,23.0,0.13988792298814806,5.0
2016,60+,0.5493043529402251,0.922185711712044,11.0,21.0,0.37288135877181894,11.0
2017,23-28,,1.0,,2.0,,2.0
2017,29-34,0.6963787576524971,0.6601622601154482,6.0,27.0,-0.03621649753704892,6.0
2017,35-39,0.7897387209966531,0.5560567857968733,14.0,32.0,-0.23368193519977976,14.0
2017,40-49,0.6043691074591354,0.7742169538834566,14.0,46.0,0.16984784642432116,14.0
2017,50-59,0.7555650870261482,0.6692212675856883,4.0,26.0,-0.08634381944045988,4.0
2017,60+,1.0,0.6630016364917276,4.0,23.0,-0.3369983635082724,4.0
2018,23-28,0.4471104483420635,0.7190136351753623,3.0,6.0,0.27190318683329884,3.0
2018,29-34,0.8284129952960756,0.8635545553783206,11.0,34.0,0.035141560082245005,11.0
2018,35-39,0.6838006023408275,0.8218046492128191,10.0,40.0,0.13800404687199164,10.0
2018,40-49,0.6909748184544147,0.8159771818687912,14.0,51.0,0.12500236341437654,14.0
2018,50-59,0.8047150363994692,0.6978196658418744,10.0,21.0,-0.1068953705575948,10.0
2018,60+,0.8047433118746771,0.6959348342673554,7.0,17.0,-0.10880847760732171,7.0
2022,23-28,1.0,0.9046986287273268,3.0,23.0,-0.09530137127267324,3.0
2022,29-34,0.9015070000285056,0.8104196909680704,20.0,92.0,-0.09108730906043516,20.0
2022,35-39,0.6474096526318205,0.7212978014120142,18.0,67.0,0.07388814878019367,18.0
2022,40-49,0.6434172842184684,0.8162820185181047,15.0,87.0,0.17286473429963622,15.0
2022,50-59,0.7342306778021115,0.81208849135548,3.0,32.0,0.07785781355336852,3.0
2022,60+,1.0,0.9504014542403636,3.0,19.0,-0.0495985457596364,3.0
2022,<=22,,1.0,,1.0,,1.0
2023,23-28,0.8091077796914286,0.7258197916297139,9.0,24.0,-0.08328798806171467,9.0
2023,29-34,0.7058764223376647,0.8079225470922723,17.0,61.0,0.10204612475460761,17.0
2023,35-39,0.6142166103528222,0.7360515533147883,15.0,64.0,0.12183494296196618,15.0
2023,40-49,0.6852205507104624,0.6472864027627347,24.0,82.0,-0.03793414794772765,24.0
2023,50-59,0.5339676736146328,0.7986312153971153,6.0,31.0,0.2646635417824825,6.0
2023,60+,0.8820360558510344,0.93539122482712,10.0,22.0,0.05335516897608561,10.0
2023,<=22,,1.0,,2.0,,2.0
2024,23-28,1.0,0.9338321921183824,5.0,24.0,-0.06616780788161758,5.0
2024,29-34,0.9587961480795594,0.9768133967703466,19.0,70.0,0.018017248690787246,19.0
2024,35-39,0.925376566586678,0.9718363701293756,11.0,67.0,0.04645980354269763,11.0
2024,40-49,1.0,1.0,18.0,58.0,0.0,18.0
2024,50-59,1.0,0.9649581968353504,14.0,41.0,-0.035041803164649554,14.0
2024,60+,1.0,0.9498550891145826,10.0,28.0,-0.05014491088541739,10.0
2024,<=22,,1.0,,2.0,,2.0
