year,cohort_type,set_a,theme_a,set_b,theme_b,n_cohorts,correlation
2024,burn_status,B - Symbolism,let,C - Emotions,love,4,0.6591
2024,burn_status,B - Symbolism,let,C - Emotions,all,4,-0.3836
2024,burn_status,B - Symbolism,let,C - Emotions,campmate,4,0.5643
2024,burn_status,B - Symbolism,let,C - Emotions,amazement,4,-0.9048
2024,burn_status,B - Symbolism,let,C - Emotions,excitement,4,-0.3836
2024,burn_status,B - Symbolism,let,C - Emotions,emotion,4,0.636
2024,burn_status,B - Symbolism,let,C - Emotions,how,4,0.9793
2024,burn_status,B - Symbolism,let,C - Emotions,connection,4,0.5902
2024,burn_status,B - Symbolism,peace,C - Emotions,love,4,-0.4959
2024,burn_status,B - Symbolism,peace,C - Emotions,all,4,0.7821
2024,burn_status,B - Symbolism,peace,C - Emotions,campmate,4,-0.3964
2024,burn_status,B - Symbolism,peace,C - Emotions,amazement,4,0.1575
2024,burn_status,B - Symbolism,peace,C - Emotions,excitement,4,0.7821
2024,burn_status,B - Symbolism,peace,C - Emotions,emotion,4,-0.4548
2024,burn_status,B - Symbolism,peace,C - Emotions,how,4,0.1155
2024,burn_status,B - Symbolism,peace,C - Emotions,connection,4,0.6763
2024,burn_status,B - Symbolism,humanity,C - Emotions,love,4,0.4328
2024,burn_status,B - Symbolism,humanity,C - Emotions,all,4,-0.5362
2024,burn_status,B - Symbolism,humanity,C - Emotions,campmate,4,0.8924
2024,burn_status,B - Symbolism,humanity,C - Emotions,amazement,4,-0.8592
2024,burn_status,B - Symbolism,humanity,C - Emotions,excitement,4,-0.5362
2024,burn_status,B - Symbolism,humanity,C - Emotions,emotion,4,0.8568
2024,burn_status,B - Symbolism,humanity,C - Emotions,how,4,0.879
2024,burn_status,B - Symbolism,humanity,C - Emotions,connection,4,0.0241
2024,burn_status,B - Symbolism,life,C - Emotions,love,4,0.1711
2024,burn_status,B - Symbolism,life,C - Emotions,all,4,0.2537
2024,burn_status,B - Symbolism,life,C - Emotions,campmate,4,0.0267
2024,burn_status,B - Symbolism,life,C - Emotions,amazement,4,-0.4619
2024,burn_status,B - Symbolism,life,C - Emotions,excitement,4,0.2537
2024,burn_status,B - Symbolism,life,C - Emotions,emotion,4,0.0643
2024,burn_status,B - Symbolism,life,C - Emotions,how,4,0.6751
2024,burn_status,B - Symbolism,life,C - Emotions,connection,4,0.8817
2024,burn_status,B - Symbolism,world,C - Emotions,love,4,-0.5943
2024,burn_status,B - Symbolism,world,C - Emotions,all,4,0.5961
2024,burn_status,B - Symbolism,world,C - Emotions,campmate,4,-0.0392
