year,set,theme,count
2024,J - Survival,water,13
2024,J - Survival,cup,7
2024,J - Survival,bottle,6
2024,J - Survival,other,113
2024,J - Survival,days,11
2024,J - Survival,bike,7
2024,J - Survival,self,6
2024,J - Survival,ask,6
2024,B - Symbolism,life,5
2024,B - Symbolism,world,6
2024,B - Symbolism,other,120
2024,B - Symbolism,better,6
2024,B - Symbolism,home,5
2024,B - Symbolism,peace,7
2024,B - Symbolism,humanity,6
2024,B - Symbolism,let,5
2024,A - Transformation,still,4
2024,A - Transformation,world,4
2024,A - Transformation,new,4
2024,A - Transformation,other,77
2024,A - Transformation,self,5
2024,A - Transformation,more,6
2024,A - Transformation,will,5
2024,A - Transformation,first,5
2024,A - Transformation,camp,5
2024,A - Transformation,came,5
2024,M - Sustainability,can,5
2024,M - Sustainability,solar,9
2024,M - Sustainability,waste,5
2024,M - Sustainability,absolutely,5
2024,M - Sustainability,other,80
2024,M - Sustainability,sustainability,7
2024,M - Sustainability,already,7
2024,M - Sustainability,don,6
2024,I - Relationships,love,4
2024,I - Relationships,world,3
2024,I - Relationships,yet,7
2024,I - Relationships,other,74
2024,I - Relationships,new,4
2024,I - Relationships,together,3
2024,I - Relationships,partner,4
2024,I - Relationships,here,7
2024,I - Relationships,great,4
2024,I - Relationships,way,5
2024,C - Emotions,amazement,4
2024,C - Emotions,other,97
2024,C - Emotions,all,4
2024,C - Emotions,some,4
2024,C - Emotions,connection,4
2024,C - Emotions,campmate,4
2024,C - Emotions,how,4
2024,C - Emotions,emotion,6
2024,C - Emotions,excitement,5
2024,C - Emotions,love,6
2024,L - Beyond Black Rock City,other,110
2024,L - Beyond Black Rock City,art,6
2024,L - Beyond Black Rock City,life,6
2024,L - Beyond Black Rock City,will,7
2024,L - Beyond Black Rock City,more,13
2024,L - Beyond Black Rock City,love,6
2024,L - Beyond Black Rock City,good,6
2024,L - Beyond Black Rock City,friend,6
2024,H - Experiences,other,109
2024,H - Experiences,vibe,5
2024,H - Experiences,bike,5
2024,H - Experiences,weather,6
2024,H - Experiences,art,5
2024,H - Experiences,community,5
2024,H - Experiences,dust,5
2024,H - Experiences,camp,6
2024,F - Costumes,both,9
2024,F - Costumes,other,95
2024,F - Costumes,don,5
2024,F - Costumes,clothe,6
2024,F - Costumes,costume,5
2024,F - Costumes,all,7
2024,F - Costumes,comfortable,6
2024,F - Costumes,plann,6
2024,D - Boundaries of Humanity,other,54
2024,D - Boundaries of Humanity,complex,3
2024,D - Boundaries of Humanity,different,5
2024,D - Boundaries of Humanity,empathy,5
2024,D - Boundaries of Humanity,emotion,6
2024,D - Boundaries of Humanity,human,9
2024,D - Boundaries of Humanity,hope,4
2024,D - Boundaries of Humanity,love,7
2024,D - Boundaries of Humanity,capacity,4
2024,D - Boundaries of Humanity,compassion,4
2024,K - Diversity & Inclusion,appearance,3
2024,K - Diversity & Inclusion,other,63
2024,K - Diversity & Inclusion,hair,5
2024,K - Diversity & Inclusion,expres,3
2024,K - Diversity & Inclusion,been,3
2024,K - Diversity & Inclusion,most,5
2024,K - Diversity & Inclusion,sometime,4
2024,K - Diversity & Inclusion,white,5
2024,K - Diversity & Inclusion,asian,3
2024,K - Diversity & Inclusion,being,3
2024,G - Drinking & Smoking,other,88
2024,G - Drinking & Smoking,smoke,6
2024,G - Drinking & Smoking,same,6
2024,G - Drinking & Smoking,drink,12
2024,G - Drinking & Smoking,weed,6
2024,G - Drinking & Smoking,help,6
2024,G - Drinking & Smoking,more,7
2024,G - Drinking & Smoking,change,6
2024,E - Singing & Dancing,alive,5
2024,E - Singing & Dancing,other,78
2024,E - Singing & Dancing,dance,12
2024,E - Singing & Dancing,good,5
2024,E - Singing & Dancing,often,5
2024,E - Singing & Dancing,danc,6
2024,E - Singing & Dancing,daily,7
2024,E - Singing & Dancing,sing,5
2025,D - Boundaries of Humanity,love,5
2025,D - Boundaries of Humanity,human,7
2025,D - Boundaries of Humanity,other,12
2025,D - Boundaries of Humanity,machine,2
2025,B - Survival,water,6
2025,B - Survival,other,10
2025,B - Survival,help,6
2025,B - Survival,days,5
2025,C - Emotions & Experiences,community,3
2025,C - Emotions & Experiences,other,15
2025,C - Emotions & Experiences,friend,5
2025,C - Emotions & Experiences,experience,3
2025,C - Emotions & Experiences,camp,3
2025,C - Emotions & Experiences,annoyance,2
2025,C - Emotions & Experiences,lack,5
2025,C - Emotions & Experiences,yet,2
2025,C - Emotions & Experiences,joy,2
2025,C - Emotions & Experiences,art,4
2025,E - Relationships,other,14
2025,E - Relationships,together,4
2025,E - Relationships,love,4
2025,A - Transformation,other,10
2025,A - Transformation,gradual,5
2025,A - Transformation,open,4
2025,F - Diversity & Inclusion,tattoo,1
2025,F - Diversity & Inclusion,all,2
2025,F - Diversity & Inclusion,look,1
2025,F - Diversity & Inclusion,other,7
2025,F - Diversity & Inclusion,alway,1
2025,F - Diversity & Inclusion,white,2
2025,F - Diversity & Inclusion,myself,1
2025,F - Diversity & Inclusion,bit,1
2025,F - Diversity & Inclusion,chinese,1
2025,F - Diversity & Inclusion,lesbian,1
