group_type,group_value,metric_name,metric_value,n,year_scope,question_family,notes
acculturation_group,30+,mean_net_acculturation,0.12121212121212122,99,pooled,Boundaries of Humanity,
acculturation_group,30+,mean_positive_markers,0.13131313131313133,99,pooled,Boundaries of Humanity,
acculturation_group,30+,mean_friction_markers,0.010101010101010102,99,pooled,Boundaries of Humanity,
acculturation_group,30+,mean_net_acculturation,0.1348314606741573,89,pooled,Diversity & Inclusion,
acculturation_group,30+,mean_positive_markers,0.19101123595505617,89,pooled,Diversity & Inclusion,
acculturation_group,30+,mean_friction_markers,0.056179775280898875,89,pooled,Diversity & Inclusion,
acculturation_group,30+,mean_net_acculturation,0.24615384615384617,260,pooled,Emotions & Experiences,
acculturation_group,30+,mean_positive_markers,0.2692307692307692,260,pooled,Emotions & Experiences,
acculturation_group,30+,mean_friction_markers,0.023076923076923078,260,pooled,Emotions & Experiences,
acculturation_group,30+,mean_net_acculturation,0.24299065420560748,535,pooled,Other,
acculturation_group,30+,mean_positive_markers,0.2542056074766355,535,pooled,Other,
acculturation_group,30+,mean_friction_markers,0.011214953271028037,535,pooled,Other,
acculturation_group,30+,mean_net_acculturation,0.308411214953271,107,pooled,Relationships,
acculturation_group,30+,mean_positive_markers,0.32710280373831774,107,pooled,Relationships,
acculturation_group,30+,mean_friction_markers,0.018691588785046728,107,pooled,Relationships,
acculturation_group,30+,mean_net_acculturation,0.33112582781456956,151,pooled,Survival,
acculturation_group,30+,mean_positive_markers,0.33774834437086093,151,pooled,Survival,
acculturation_group,30+,mean_friction_markers,0.006622516556291391,151,pooled,Survival,
acculturation_group,30+,mean_net_acculturation,0.45161290322580644,124,pooled,Symbolism,
acculturation_group,30+,mean_positive_markers,0.45161290322580644,124,pooled,Symbolism,
acculturation_group,30+,mean_friction_markers,0.0,124,pooled,Symbolism,
acculturation_group,30+,mean_net_acculturation,0.625,104,pooled,Transformation,
acculturation_group,30+,mean_positive_markers,0.6923076923076923,104,pooled,Transformation,
