group_type,group_value,metric_name,metric_value,n,year_scope,question_family,notes
age_band_nextgen,25-29,hardship_rate,0.04455445544554455,202,pooled,all,
age_band_nextgen,25-29,breakthrough_rate,0.0297029702970297,202,pooled,all,
age_band_nextgen,25-29,linked_pathway_rate,0.0,202,pooled,all,
age_band_nextgen,30-34,hardship_rate,0.032171581769437,373,pooled,all,
age_band_nextgen,30-34,breakthrough_rate,0.01876675603217158,373,pooled,all,
age_band_nextgen,30-34,linked_pathway_rate,0.0,373,pooled,all,
age_band_nextgen,35-39,hardship_rate,0.024128686327077747,373,pooled,all,
age_band_nextgen,35-39,breakthrough_rate,0.013404825737265416,373,pooled,all,
age_band_nextgen,35-39,linked_pathway_rate,0.0,373,pooled,all,
age_band_nextgen,40+,hardship_rate,0.034578146611341634,723,pooled,all,
age_band_nextgen,40+,breakthrough_rate,0.022130013831258646,723,pooled,all,
age_band_nextgen,40+,linked_pathway_rate,0.0,723,pooled,all,
age_band_nextgen,<25,hardship_rate,0.05555555555555555,126,pooled,all,
age_band_nextgen,<25,breakthrough_rate,0.0,126,pooled,all,
age_band_nextgen,<25,linked_pathway_rate,0.0,126,pooled,all,
age_band_nextgen,Unknown,hardship_rate,0.006734006734006734,297,pooled,all,
age_band_nextgen,Unknown,breakthrough_rate,0.006734006734006734,297,pooled,all,
age_band_nextgen,Unknown,linked_pathway_rate,0.0,297,pooled,all,
tenure_band,Elder,hardship_rate,0.0594059405940594,202,pooled,all,
tenure_band,Elder,breakthrough_rate,0.019801980198019802,202,pooled,all,
tenure_band,Elder,linked_pathway_rate,0.0,202,pooled,all,
tenure_band,Sophomore,hardship_rate,0.04185022026431718,454,pooled,all,
tenure_band,Sophomore,breakthrough_rate,0.01762114537444934,454,pooled,all,
tenure_band,Sophomore,linked_pathway_rate,0.0,454,pooled,all,
tenure_band,Unknown,hardship_rate,0.016494845360824743,485,pooled,all,
tenure_band,Unknown,breakthrough_rate,0.002061855670103093,485,pooled,all,
tenure_band,Unknown,linked_pathway_rate,0.0,485,pooled,all,
tenure_band,Veteran,hardship_rate,0.030660377358490566,424,pooled,all,
tenure_band,Veteran,breakthrough_rate,0.018867924528301886,424,pooled,all,
tenure_band,Veteran,linked_pathway_rate,0.0,424,pooled,all,
tenure_band,Virgin,hardship_rate,0.022684310018903593,529,pooled,all,
tenure_band,Virgin,breakthrough_rate,0.02835538752362949,529,pooled,all,
tenure_band,Virgin,linked_pathway_rate,0.0,529,pooled,all,
