year,folder,subfolder,filename,entry_index,question_family,norm_age,age_band_nextgen,next_gen_flag,norm_gender,norm_region,norm_burn_count,tenure_band,answered_open_questions,response_len_words,response_text_combined
2024,2024 Field Notes Images,J1 - Survival,IMG_2575.HEIC,1,Survival,41,40+,0,M,Local/West,8,Veteran,4,6,WATER Tea tree oil 21 Be there
2024,2024 Field Notes Images,J1 - Survival,IMG_2574.HEIC,1,Survival,37,35-39,0,F,International,3,Sophomore,4,9,"Sunscreen Notebook, cup with ID on it 3 weeks shower"
2024,2024 Field Notes Images,J1 - Survival,IMG_2579.HEIC,1,Survival,11,<25,1,M,Local/West,2,Sophomore,4,5,water bottle broom 15-17 days IDK
2024,2024 Field Notes Images,J1 - Survival,IMG_2579.HEIC,2,Survival,47,40+,0,M,US Other,3,Sophomore,4,14,Water Storage Pita Chips 8 or so We don't rely on others for our survival
2024,2024 Field Notes Images,J1 - Survival,IMG_2563.HEIC,1,Survival,52,40+,0,M,Local/West,1,Virgin,4,6,WATER Mushrooms 21 days Give and recieve
2024,2024 Field Notes Images,J1 - Survival,IMG_2563.HEIC,2,Survival,29,25-29,1,F,Local/West,2,Sophomore,4,13,Boots - Bunch of Socks my Friends lol 10 days Being attentive cond Supporting Communion
2024,2024 Field Notes Images,J1 - Survival,IMG_2578.HEIC,1,Survival,59,40+,0,F,Local/West,17,Elder,4,12,"Bicycle Bicycle shorts so your legs burn 10 days Friendships, connecting, ICE, Conversation"
2024,2024 Field Notes Images,J1 - Survival,IMG_2578.HEIC,2,Survival,21,<25,1,M,US Other,1,Virgin,4,8,Water Jugs Swim trunks 2 weeks Just extra food
2024,2024 Field Notes Images,J1 - Survival,IMG_2562.HEIC,1,Survival,68,40+,0,F,US Other,23,Elder,4,19,"my siblings whatis unconventional! 30 days social, Kindnesses, interaction s with people who need you at a tough time in their lives."
2024,2024 Field Notes Images,J1 - Survival,IMG_2562.HEIC,2,Survival,27,25-29,1,F,International,3,Sophomore,4,40,Belt bag with comfort items Hairbrush & oil - I wear my long hair down but still like to brush it despite the dust 1- I brought no water of my own I volunteer extensively with Gate. Which means I don't have to worry about food & water
2024,2024 Field Notes Images,J1 - Survival,IMG_2554.HEIC,1,Survival,72,40+,0,M,Local/West,6,Veteran,4,7,"Automobile Tutu A week at least Portas, community."
2024,2024 Field Notes Images,J1 - Survival,IMG_2554.HEIC,2,Survival,43,40+,0,M,US Other,1,Virgin,4,6,"Bike Portable Bidet 12 Engagement, Converston, Art"
2024,2024 Field Notes Images,J1 - Survival,IMG_2554.HEIC,3,Survival,78,40+,0,F,US Other,1,Virgin,4,2,Comera ? 10 Company
