set,theme_id,theme_label,count,pct,key_terms,example
J - Survival,t0,love / self / gifting,55,32.54,"self, love, help, gift, water",Belt bag with comfort items Hairbrush & oil - I wear my long hair down but still like to brush it despite the dust 1- I brought no water of my own I volunteer extensively with Gate. Which means I don't have to worry about food & water
J - Survival,t1,days / water / bottle,48,28.4,"water, days, bottle, rely, help",WATER Tea tree oil 21 Be there
J - Survival,t5,cup / supplies / shade,15,8.88,"water, shade, cup, supplie, food",Cup Looping Pedal Infinite Food & Water & friendship
J - Survival,t4,weeks / cup / tent,14,8.28,"cup, help, tent, water, extra","Sunscreen Notebook, cup with ID on it 3 weeks shower"
J - Survival,t2,share / food / good,11,6.51,"share, food, water, good, more","Good Shoes A tent inside another tent, a sewing kit 9-10, or 2-3 more clays than I plan to be here. Share the labor load -set up, tear down, ice & water runs, working together means more time to plays"
J - Survival,t3,bike / community / engagement,10,5.92,"bike, community, engagement, automobile, tutu","Automobile Tutu A week at least Portas, community."
J - Survival,t6,ask / days / help,8,4.73,"ask, days, water, help, baby",water a little cart that became my chariot 15 days ASK
J - Survival,t7,emotional / support / camp,8,4.73,"emotional, support, camp, water, bring","Water botthe Bungee cords 12 (but lam in a theme, camp that feed's me) Bringing things I forgot or things to Share, if somethi of mine broke and they have a spare. Also Sam sharing-ce building skills. And emotional support."
B - Symbolism,t4,place / love / community,150,93.75,"place, life, community, all, love",It's a reset for life. Reminder to be creative and ridiculous... and curious.
B - Symbolism,t7,freedom / emotional,3,1.88,"freedom, emptines, emotional",Freedom Emptiness
B - Symbolism,t5,art / non / space,2,1.25,"art, beatifal, loy, plan, proces","yes, wf lots of beatifal art Lots of loy Plans to process faligs"
B - Symbolism,t0,away / others / free,1,0.62,"broad, away, other, free, embro",Yes broad away I want others not a of we Free embro Cat
B - Symbolism,t1,creating / expression / humanity,1,0.62,"peak, humanity, creat, expression, ingenuity","yes. It is peak humanity in creating, expression and ingenuity Freedom Release. A refresh. A cleanslate."
B - Symbolism,t2,show / healing / represents,1,0.62,"most, unige, art, stage, can",It is the most unige art stage where I can show off my Creations Unity It represents healing and memories Of our Loved ones.
B - Symbolism,t3,stories / here / there,1,0.62,"there, place, here, shere, love",There is no place like here to shere or see or LOVE people like HOW THEY ARE #NAME? LiFE & Stories
B - Symbolism,t6,ashes / faith / there,1,0.62,"restore, faith, husband, ashe, there",Yes. Restores my faith in people - Husbands ashes there in the 1st year (2011)
A - Transformation,t9,was / open / way,29,24.17,"was, more, open, way, both","[Illegible] [Illegible] [Illegible] NO, I FEEL I STILL RELATE THE SAME WAY CLIMATE, VOLUMEE PEOPLE"
A - Transformation,t6,being / myself / expectations,15,12.5,"more, gradual, myself, expectation, being","YES+ NO- IT CREATED AN OPPORTUNITY TO TEST MY WILLINGNESS/ ABILITY to EXPRESS MYSELF, BUT I WOLON'T CALL IT TRANSEGR MATIVE I EXPECTED SOME SHIFT, IF ONLY BECAUSE OF THE PHENCAR ENVIRONMENT GRADUAL NO, I FEER I STILL RELATE THE SAME WAY CLI"
A - Transformation,t3,camp / maybe / creative,14,11.67,"open, art, camp, creative, more",[Blank] TASTE the COLORS!
A - Transformation,t4,more / sudden / acceptance,14,11.67,"more, sudden, both, open, much","It validated and gave me much needed confirmation that the world is not full of selfish, greedy people. I showed me that an alternative world is possible. Yes - I've been told it's transcendental Both - sudden & full of spectacle but the ef"
A - Transformation,t2,gradual / new / learn,11,9.17,"learn, new, gradual, build, skill","Yes, learn new success Maybe I don't know yes Absolutely Community"
A - Transformation,t1,first / here / still,10,8.33,"first, here, still, chang, was","in 2018 when I brought my kids, & 2019 when my husband was w/me I hoped both this time, 2024, Hell yes! Best Burn Im still me,"
A - Transformation,t5,sure / every / experience,9,7.5,"sure, more, how, every, community",NOT Sure No N/A No N/A
A - Transformation,t8,love / creativity / more,9,7.5,"love, more, both, was, open","Yes. Made me love people more. Somewhat. I kend I would release what was there. Slowly released at burn. good grew greater afterwad made me love people more, unconditional experiencing the people at Burning Man. (not chemical)"
A - Transformation,t7,will / costumes / yet,5,4.17,"will, early, was, already, costume","Not yet, but maybe will;"
A - Transformation,t0,let / burns / treat,4,3.33,"let, open, camp, both, nevada",3-6 burns Nevada Let it burn
M - Sustainability,t5,solar / default / more,21,16.94,"solar, more, default, sustainable, water","Concerned more on policy Impact Solar Yes - Solar Yes - But Educate on how Yes - Seeds of Cultural Change Solar, Fuel & Water management"
M - Sustainability,t3,more / absolutely / how,18,14.52,"more, solar, all, absolutely, how","Heavy. I ward to know My Laver about a sustainable life would resonate A Fer. more solar, nove Battery banks Yes. all solary Little one time purchased Absolutely. Its core to the principles Yes, otherwise its just lip service of Rid people "
M - Sustainability,t1,sustainability / would / waste,17,13.71,"solar, would, waste, sustainability, camp","I thougar a for bit aheat my camp's energy needs and cambilities I think we have chough onergy at the burn to bon fessit fuels (fromat (@ast My (QR) Solar ONLY! we used propane for food and a gasoline rehicle to arikve Yes! No Pai Negain, B"
M - Sustainability,t4,here / some / maybe,17,13.71,"here, solar, maybe, would, some","we try to minimice trash, water, food waste, and overall load. The only area we can't figure out is trasport to the event otherwise, we have zero black of gray water, I small beg of trash, and I small buy of recyclelitas, We mange to keep f"
M - Sustainability,t0,yet / both / such,16,12.9,"should, community, yet, waste, sure","Yes, interact with my environment in new ways Coolest place on ourth coolest people on earth I see prople deal with trauma in oddly similar ways"
M - Sustainability,t6,all / much / yeah,13,10.48,"much, all, can, was, more","yes Using my e-bike more / gray nater Yes, camp with ALL SOLAR encourage yes, everyone can decide what is needed It seems like this T.N."
M - Sustainability,t7,less / gray / more,13,10.48,"less, more, solar, sustainable, practice","Somewhat I like to rough it over comfort solar power I decide to be in more comfort yes less amazon products more reuse/thrifting yes appreciate the increase I saw this year yes the wastefulness of burning mon needs to be worked on yes, eas"
M - Sustainability,t2,don / enough / doubt,9,7.26,"don, solar, sure, enough, keep","Yes, it is what prevented me from coming in past years. I don't own a car due to sustainability reasons and so I took the burner bus. I wanted to make sure I had enough things to keep me comfortable in extreme cold+heat and my camp doesn't "
I - Relationships,t2,here / love / more,96,83.48,"here, partner, was, love, more","N/A Yes, now, with us love shoppdag Be secure in yourselves relationship Everyone is all LOVE"
I - Relationships,t3,yet / here / sure,10,8.7,"yet, here, was, incredible, lol",Not yet No People here is incredible!
I - Relationships,t5,weirder,2,1.74,weirder,NO No WEIRDER
I - Relationships,t0,been / great,1,0.87,"been, great","No. Yes, it's been great to have my"
I - Relationships,t1,together / part / camp,1,0.87,"together, been, same, part, camp",No I have been in a committed relationship w/ the same person 4/5 Burus & they have also been in the same coump as me each year & we were part of camp leadership - we still caure together I loved it - Burning Man was a big part of our life 
I - Relationships,t4,seem / which / fleeting,1,0.87,"seem, fleet, impermanent, here, which","NO NO THINGS SEEM VERY FLEETING & IMPERMANENT HERE, WHICH IS BEAUTIFUL"
I - Relationships,t6,yourself / default / let,1,0.87,"brought, lover, here, look, great","No, I brought my lover here Yes, she looked great, lots of friendly staves. You have to let her do what she wants have to reminel yourself. that in default world, not Everyone is a burner."
I - Relationships,t7,both / sure / recommend,1,0.87,"both, recommend, sure, chance, follow","no Yes, recommend making sure both have chances to both follow plans & be spontaneous They are not!"
I - Relationships,t8,seems / new / present,1,0.87,"new, seem, mot, some, though","No. I have mot some new people though Yes, partner present. It was wonderful to explore tostther and get to know one another in a new setting. everyone seems way more Chilled at on the playa. There seems to be less judgement of others on th"
I - Relationships,t9,would / over / maybe,1,0.87,"would, love, same, maybe, less","Love it About the Same maybe less I am in recovery and is my Sanity my baseline growers would be over run by corporations, but People would have their molicine Did a lot, not my Jam."
C - Emotions,t7,joy / friend / happiness,26,18.84,"joy, friend, happines, love, wonder","Wonder, Ave, Joy, londiness, connection bride in going. my conitort zove, Not Yet Grilled PBJ Expansiveness of Melights"
