Timestamp,Camp Size,Average Per Person Camp Contribution,Contribution Range,Camp Total Annual Budget,How are camp contributions structured?,Do you collect contributions through an entity?,NOTAFLOF for low/no income campers?,Camp Amenities,Do supplemental contributions support other camp amenities (in addition to core contribution),Do you offer financial incentives (e.g. discounts or refunds) to folks who come to early build and/or late strike,Commentary,Camp Name,ContributionRangeLow,ContributionRangeHigh,Tidbits
2024/04/30 9:39:07 AM AST,8,,0,,"No required contribution, donations welcome",Not incorporated,No,Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower,No,N/A,"Each camper brings supplies for the bar, and camp infrastructure is divided between campers. When we want to upgrade something we discuss who’s turn it is to handle the upgrade or we divide cost among us.",Go the Fuck to Sleep,,,
2024/04/30 9:50:34 AM AST,35,1200,,40000,Flat Fee,Not incorporated,No,Private Camper Lounge / Shade Structure;MOOP Management,No,N/A,,,,,
2024/04/30 9:53:11 AM AST,7,180,100-200,1390,Flat Fee,Not incorporated,"Yes, informally","Private Camper Lounge / Shade Structure;Shower;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",No,N/A,Budget is for a first year camp where shade structure was purchased.,Camp Big Chungus ,100,200,
2024/04/30 10:12:13 AM AST,40,300,,,Flat Fee,Not incorporated,No,Water;Private Camper Lounge / Shade Structure;Shower;Power,No,N/A,,,,,
2024/04/30 10:14:53 AM AST,30,350,,12000,Flat Fee,Not incorporated,"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",No,N/A,,,,,
2024/04/30 10:15:18 AM AST,30,600,600,15000,Flat Fee,Not incorporated,No,"Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Booze;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",No,N/A,,,,,
2024/04/30 10:25:31 AM AST,30,400,,12000,Flat Fee;Tiered based on financial capability,Not incorporated,"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management","Yes - capital improvements/infra (e.g. new shade structure, etc)",N/A,,A Shack of Sit,,,
2024/04/30 10:45:01 AM AST,50,500,,25000,Flat Fee,,No,"Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Booze;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",Yes - tents,N/A,,,,,
2024/04/30 10:53:20 AM AST,17,247,0-500,4206,"Tiered based on financial capability;No required contribution, donations welcome",Non-exempt organization (e.g. LLC without nonprofit status),"Yes, formally",Private Camper Lounge / Shade Structure;Equipment Transportation,No,N/A,We are an art support camp,,0,500,
2024/04/30 11:16:44 AM AST,30,200,,10000,Flat Fee,Non-exempt organization (e.g. LLC without nonprofit status),No,,No,N/A,,,,,
2024/04/30 11:19:50 AM AST,25,300,,,Flat Fee,Not incorporated,No,Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;MOOP Management,No,N/A,,,,,
2024/04/30 11:25:21 AM AST,42,350,,12000,Flat Fee,Not incorporated,No,"Water;Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)",Yes - equipment transport;Yes - high power hookups (e.g. for RVs),N/A,use of cargo truck and/or showers is extra,,,,
2024/04/30 11:28:42 AM AST,24,350,350,,Flat Fee,Not incorporated,No,"Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)",No,N/A,"We log all purchases, track all the money, and refund any unused funds back to the campers. Everyone pays in to the finance head in early August.  Excess is paid back to everyone in late September.",Cult of the Magic Lady,,,Return unused funds to campers
2024/04/30 12:06:20 PM AST,18,225,,4000,Flat Fee,Not incorporated,No,"Water;Private Camper Lounge / Shade Structure;Shower;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)",No,N/A,,Caffeination Station,,,
2024/04/30 12:11:33 PM AST,18,300,,3000,Flat Fee,Not incorporated,"Yes, informally","Water;Private Camper Lounge / Shade Structure;Shower;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)",No,N/A,,Playa glass,,,
