Folder,Subfolder,Filename,EntryIndex,Raw Transcription,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Norm_Age,Norm_Gender,Norm_Burn_Count,Norm_Region,Burn_Status
2024 Field Notes Images,J1 - Survival,IMG_2575.HEIC,1,Q1: 41 | Q2: Male | Q3: San Francisco | Q4: 8 | Q5: WATER | Q6: Tea tree oil | Q7: 21 | Q8: Be there,41,Male,San Francisco,8,WATER,Tea tree oil,21,Be there,,,,,,,,41,M,8,Local/West,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2574.HEIC,1,"Q1: 37 | Q2: F | Q3: Paris, France | Q4: 3 | Q5: Sunscreen | Q6: Notebook, cup with ID on it | Q7: 3 weeks | Q8: shower",37,F,"Paris, France",3,Sunscreen,"Notebook, cup with ID on it",3 weeks,shower,,,,,,,,37,F,3,International,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2579.HEIC,1,"Q1: 11 | Q2: male | Q3: taheo city, ca | Q4: 2 | Q5: water bottle | Q6: broom | Q7: 15-17 days | Q8: IDK",11,male,"taheo city, ca",2,water bottle,broom,15-17 days,IDK,,,,,,,,11,M,2,Local/West,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2579.HEIC,2,"Q1: 47 | Q2: Male | Q3: Colorado | Q4: 3 (07,09,24) | Q5: Water Storage | Q6: Pita Chips | Q7: 8 or so | Q8: We don't rely on others for our survival",47,Male,Colorado,"3 (07,09,24)",Water Storage,Pita Chips,8 or so,We don't rely on others for our survival,,,,,,,,47,M,3,US Other,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2563.HEIC,1,Q1: 52 | Q2: Male | Q3: Dayton NV | Q4: 1 | Q5: WATER | Q6: Mushrooms | Q7: 21 days | Q8: Give and recieve,52,Male,Dayton NV,1,WATER,Mushrooms,21 days,Give and recieve,,,,,,,,52,M,1,Local/West,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2563.HEIC,2,Q1: 29 | Q2: Female | Q3: Los Angeles. | Q4: 2. | Q5: Boots - Bunch of Socks | Q6: my Friends lol | Q7: 10 days | Q8: Being attentive cond Supporting Communion,29,Female,Los Angeles.,2,Boots - Bunch of Socks,my Friends lol,10 days,Being attentive cond Supporting Communion,,,,,,,,29,F,2,Local/West,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2578.HEIC,1,"Q1: 59 | Q2: Female | Q3: Berkeley, California | Q4: 17 | Q5: Bicycle | Q6: Bicycle shorts so your legs burn | Q7: 10 days | Q8: Friendships, connecting, ICE, Conversation",59,Female,"Berkeley, California",17,Bicycle,Bicycle shorts so your legs burn,10 days,"Friendships, connecting, ICE, Conversation",,,,,,,,59,F,17,Local/West,Elder
2024 Field Notes Images,J1 - Survival,IMG_2578.HEIC,2,Q1: 21 | Q2: Male | Q3: Montana | Q4: 1 | Q5: Water Jugs | Q6: Swim trunks | Q7: 2 weeks | Q8: Just extra food,21,Male,Montana,1,Water Jugs,Swim trunks,2 weeks,Just extra food,,,,,,,,21,M,1,US Other,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2562.HEIC,1,"Q1: 68 | Q2: f | Q3: San Diego | Q4: 23 | Q5: my siblings | Q6: whatis unconventional! | Q7: 30 days | Q8: social, Kindnesses, interaction s with people who need you at a tough time in their lives.",68,f,San Diego,23,my siblings,whatis unconventional!,30 days,"social, Kindnesses, interaction s with people who need you at a tough time in their lives.",,,,,,,,68,F,23,US Other,Elder
2024 Field Notes Images,J1 - Survival,IMG_2562.HEIC,2,"Q1: 27 | Q2: Female | Q3: Paris, FRANCE | Q4: 3 | Q5: Belt bag with comfort items | Q6: Hairbrush & oil - I wear my long hair down but still like to brush it despite the dust | Q7: 1- I brought no water of my own | Q8: I volunteer extensively with Gate. Which means I don't have to worry about food & water",27,Female,"Paris, FRANCE",3,Belt bag with comfort items,Hairbrush & oil - I wear my long hair down but still like to brush it despite the dust,1- I brought no water of my own,I volunteer extensively with Gate. Which means I don't have to worry about food & water,,,,,,,,27,F,3,International,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2554.HEIC,1,"Q1: 72 | Q2: M | Q3: Norcal | Q4: 6 | Q5: Automobile | Q6: Tutu | Q7: A week at least | Q8: Portas, community.",72,M,Norcal,6,Automobile,Tutu,A week at least,"Portas, community.",,,,,,,,72,M,6,Local/West,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2554.HEIC,2,"Q1: 43 | Q2: M | Q3: Colorado Springs | Q4: 1 | Q5: Bike | Q6: Portable Bidet | Q7: 12 | Q8: Engagement, Converston, Art",43,M,Colorado Springs,1,Bike,Portable Bidet,12,"Engagement, Converston, Art",,,,,,,,43,M,1,US Other,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2554.HEIC,3,Q1: 78 | Q2: F | Q3: Nurada City Co | Q4: 1 | Q5: Comera | Q6: ? | Q7: 10 | Q8: Company,78,F,Nurada City Co,1,Comera,?,10,Company,,,,,,,,78,F,1,US Other,Virgin
